olink_id	gene_symbol	protein_name	hpa_protein_class	hpa_bio_process	hpa_mol_function	hpa_disease	rna_blood_cell_specificity	rna_blood_cell_specific_ntpm	rna_blood_lineage_specificity	secretome_location	rna_tissue_specificity	msigdb_c7_immune_gene	cytokine	interleukin	interferon_axis	TNF_axis	chemokine	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	inflammation_immune_annotated	immune_score	is_plasma_immune	immune_class
1775	MTR	Methionine synthase	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins	Amino-acid biosynthesis, Methionine biosynthesis	Methyltransferase, Transferase	Disease variant, FDA approved drug targets	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1776	MTSS1	Protein MTSS 1	Plasma proteins, Predicted intracellular proteins		Actin-binding	Tumor suppressor	Immune cell enhanced	non-classical monocyte: 169.7	Group enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	0	2	1	Immune-cell-enriched
1777	MTSS2	Protein MTSS 2	Predicted intracellular proteins		Actin-binding	Disease variant, Intellectual disability	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1778	MTUS1	Microtubule-associated tumor suppressor 1	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins			Disease variant, Tumor suppressor	Immune cell enhanced	naive CD4 T-cell: 1.8;naive CD8 T-cell: 1.4	Lineage enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	0	0	2	1	Immune-cell-enriched
1779	MUC13	Mucin-13	Predicted membrane proteins, Predicted secreted proteins				Not detected in immune cells		Not detected	Secreted to digestive system	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1780	MUC16	Mucin-16	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins				Not detected in immune cells		Not detected	Secreted in other tissues	Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1781	MUC2	Mucin-2	Predicted intracellular proteins				Not detected in immune cells		Not detected	Intracellular and membrane	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1782	MUCL3	Mucin-like protein 3	Predicted membrane proteins				Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1783	MVK	Mevalonate kinase	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism	Kinase, Transferase	Cataract, Disease variant	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1784	MXRA8	Matrix remodeling-associated protein 8	Predicted membrane proteins	Cell adhesion, Host-virus interaction			Immune cell enriched	naive CD8 T-cell: 6.4	Lineage enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	0	0	2	1	Immune-cell-enriched
1785	MYBPC1	Myosin-binding protein C, slow-type	Disease related genes, Human disease related genes, Predicted intracellular proteins	Cell adhesion	Actin-binding, Muscle protein	Disease variant	Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1786	MYBPC2	Myosin-binding protein C, fast-type	Predicted intracellular proteins	Cell adhesion	Actin-binding, Muscle protein		Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1787	MYCBP2	E3 ubiquitin-protein ligase MYCBP2	Enzymes, Metabolic proteins, Predicted intracellular proteins	Biological rhythms, Ubl conjugation pathway	Guanine-nucleotide releasing factor, Transferase		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1788	MYDGF	Myeloid-derived growth factor	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Angiogenesis, Apoptosis			Low immune cell specificity		Low lineage specificity	Secreted to blood	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1789	MYH4	Myosin-4	Plasma proteins, Predicted intracellular proteins		Actin-binding, Calmodulin-binding, Motor protein, Muscle protein, Myosin		Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1790	MYH7B	Myosin-7B	Predicted intracellular proteins		Actin-binding, Motor protein, Muscle protein, Myosin		Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1791	MYH9	Myosin-9	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	Cell adhesion, Cell shape	Actin-binding, Calmodulin-binding, Host cell receptor for virus entry, Motor protein, Myosin, Receptor	Alport syndrome, Cancer-related genes, Cataract, Deafness, Disease variant, Non-syndromic deafness	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1792	MYL1	Myosin light chain 1/3, skeletal muscle isoform	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins		Motor protein, Muscle protein, Myosin	Disease variant	Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1793	MYL3	Myosin light chain 3	Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins		Motor protein, Muscle protein, Myosin	Cardiomyopathy, Disease variant	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1794	MYL4	Myosin light chain 4	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins		Motor protein, Muscle protein, Myosin	Atrial fibrillation, Disease variant	Immune cell enriched	plasmacytoid DC: 1.8	Lineage enriched		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	0	2	1	Immune-cell-enriched
1795	MYL6B	Myosin light chain 6B	Plasma proteins, Predicted intracellular proteins		Motor protein, Muscle protein, Myosin		Immune cell enhanced	plasmacytoid DC: 30.4	Group enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	0	2	1	Immune-cell-enriched
1796	MYLPF	Myosin regulatory light chain 2, skeletal muscle isoform										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1797	MYO6	Unconventional myosin-VI	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	Endocytosis, Hearing, Protein transport, Transport	Actin-binding, Calmodulin-binding, Motor protein, Myosin	Cardiomyopathy, Deafness, Disease variant, Non-syndromic deafness	Group enriched	gdT-cell: 5.4;MAIT T-cell: 3.0;memory CD4 T-cell: 1.7;memory CD8 T-cell: 3.1;naive CD8 T-cell: 3.0;NK-cell: 2.9	Group enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell;NK-cell	0	0	2	1	Immune-cell-enriched
1798	MYO9B	Unconventional myosin-IXb	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins		Actin-binding, Calmodulin-binding, GTPase activation, Motor protein, Myosin		Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1799	MYOC	Myocilin	Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins			Disease variant, Glaucoma	Not detected in immune cells		Not detected	Secreted to extracellular matrix	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1800	MYOM1	Myomesin-1	Predicted intracellular proteins		Muscle protein		Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1801	MYOM2	Myomesin-2	Predicted intracellular proteins		Muscle protein		Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1802	MYOM3	Myomesin-3	Predicted intracellular proteins				Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1803	MZB1	Marginal zone B- and B1-cell-specific protein	Predicted secreted proteins	Apoptosis			Group enriched	memory B-cell: 160.8;plasmacytoid DC: 570.5	Group enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;B-cell;Dendritic	1	0	2	1	Immune-cell-enriched
1804	MZT1	Mitotic-spindle organizing protein 1	Essential proteins, Predicted intracellular proteins				Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1805	NAA10	N-alpha-acetyltransferase 10	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins		Acyltransferase, Transferase	Disease variant, Microphthalmia	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1806	NAA80	N-alpha-acetyltransferase 80	Metabolic proteins, Predicted intracellular proteins		Acyltransferase, Transferase	Deafness, Disease variant, Tumor suppressor	Immune cell enriched	eosinophil: 56.5	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
1807	NAAA	N-acylethanolamine-hydrolyzing acid amidase	Enzymes, Metabolic proteins, Predicted intracellular proteins	Fatty acid metabolism, Lipid degradation, Lipid metabolism	Hydrolase		Immune cell enhanced	intermediate monocyte: 671.9;non-classical monocyte: 585.2	Lineage enriched	Intracellular and membrane	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	0	2	1	Immune-cell-enriched
1808	NACC1	Nucleus accumbens-associated protein 1	Disease related genes, Human disease related genes, Predicted intracellular proteins	Transcription, Transcription regulation	Repressor	Disease variant, Epilepsy, Intellectual disability	Not detected in immune cells		Not detected		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1809	NADK	NAD kinase	Enzymes, Metabolic proteins, Predicted intracellular proteins		Kinase, Transferase		Immune cell enhanced	neutrophil: 507.6	Group enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
1810	NAGA	Alpha-N-acetylgalactosaminidase	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Lipid metabolism	Glycosidase, Hydrolase	Cancer-related genes, Disease variant, Epilepsy	Group enriched	classical monocyte: 202.7;intermediate monocyte: 249.1;myeloid DC: 195.3;non-classical monocyte: 259.0;plasmacytoid DC: 120.0	Group enriched	Intracellular and membrane	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	0	2	1	Immune-cell-enriched
